attempts,damping,epoch,loss_epoch,loss_step,step
2.0,0.0010000000474974513,0,,0.11661597341299057,4
2.0,0.0010000000474974513,0,,0.09916526079177856,9
,,0,0.14786359667778015,,12
4.0,0.0010000000474974513,1,,0.2489101141691208,14
4.0,10000000000.0,1,,0.4000000059604645,17
,,1,0.3496328294277191,,17
