attempts,damping,epoch,loss_epoch,loss_step,step
1.0,0.0010000000474974513,0,,0.04621439427137375,4
1.0,0.00010000001930166036,0,,0.1130300760269165,9
,,0,0.13664697110652924,,12
2.0,0.0010000001639127731,1,,0.13920795917510986,14
10.0,100000.0078125,1,,0.4000000059604645,19
5.0,10000000000.0,1,,0.4000000059604645,20
,,1,0.2624872028827667,,20
